OBJECTID,Line_No,Bear_ID,Date,Time,Latitude,Longitude,Elevation__feet_,Temp__Deg_F_,Major_Activity,Video_file,Remarks
1,51,Bear 15,"Thursday, June 27, 2013",6:01 PM,61.229235,-149.8882759,,72,Resting,,
2,86,Bear 15,"Friday, June 28, 2013",12:01 AM,61.2301522,-149.8861457,,63,Resting,,
3,122,Bear 15,"Friday, June 28, 2013",6:02 AM,61.2282931,-149.8892684,,66,Resting,,
4,133,Bear 15,"Friday, June 28, 2013",8:20 AM,61.2294213,-149.8849528,,68,Locomotion,Bear 15 06-28-13 0820,In back of pick up investigating items; in cooler
5,155,Bear 15,"Friday, June 28, 2013",12:01 PM,61.2284769,-149.8886185,,66,Resting,,
6,184,Bear 15,"Friday, June 28, 2013",6:00 PM,61.2284618,-149.8452491,,68,Resting,,
7,205,Bear 15,"Friday, June 28, 2013",9:30 PM,61.2266097,-149.8730451,,66,Locomotion,Bear 15 06-28-13 2130,walking/running through train depot
8,220,Bear 15,"Saturday, June 29, 2013",12:00 AM,61.2216305,-149.8702028,,64,Locomotion,,Walking down social trail
9,226,Bear 15,"Saturday, June 29, 2013",1:00 AM,61.2209022,-149.8749463,,64,Locomotion,Bear 15 06-29-13 0100,Walking through neighborhood at night� dark
10,248,Bear 15,"Saturday, June 29, 2013",4:40 AM,61.2210843,-149.8726453,,66,Resting,Bear 15 06-29-13 0440,"In tree, overlooking RV lot"
11,256,Bear 15,"Saturday, June 29, 2013",6:00 AM,61.2210148,-149.872893,,66,Resting,,Resting in cottonwood tree
12,292,Bear 15,"Saturday, June 29, 2013",12:00 PM,61.2211527,-149.8725358,,70,Resting,,
13,312,Bear 15,"Saturday, June 29, 2013",3:20 PM,61.2216399,-149.8697974,,77,Anthropogenic,Bear 15 06-29-13 1520,Digging through BP trashbag left in woods from cleanup crew
14,313,Bear 15,"Saturday, June 29, 2013",3:30 PM,61.2216551,-149.8697906,,77,Locomotion,Bear 15 06-29-13 1530,"looking around in woods, hears plane and looks in that direction"
15,328,Bear 15,"Saturday, June 29, 2013",6:00 PM,61.2210229,-149.8720754,,75,Resting,,
16,337,Bear 15,"Saturday, June 29, 2013",7:30 PM,61.2211754,-149.8690262,,73,Anthropogenic,Bear 15 06-29-13 1930,Digging through trash next to tent
17,355,Bear 15,"Saturday, June 29, 2013",10:30 PM,61.221686,-149.8689905,,72,Anthropogenic,Bear 15 06-29-13 2230,Eating peanuts from squirrel midden
18,364,Bear 15,"Sunday, June 30, 2013",12:02 AM,61.2216277,-149.8688041,,68,Resting,,
19,399,Bear 15,"Sunday, June 30, 2013",6:01 AM,61.2191582,-149.904993,,66,Locomotion,,Walking past house
20,420,Bear 15,"Sunday, June 30, 2013",9:30 AM,61.1979819,-149.9346997,,64,Locomotion,Bear 15 06-30-13 0930,Running in someone's front yard to back of house.  Full view of neighbors
21,435,Bear 15,"Sunday, June 30, 2013",12:00 PM,61.1926709,-149.9878444,,66,Resting,,
22,452,Bear 15,"Sunday, June 30, 2013",2:51 PM,61.2027272,-150.0107567,,66,Locomotion,Bear 15 06-30-13 14:51,Walks by bike on Kincaid trail
23,454,Bear 15,"Sunday, June 30, 2013",3:10 PM,61.2005202,-150.0239131,,64,Natural Food,Bear 15 06-30-13 15:10,Eating insects
24,461,Bear 15,"Sunday, June 30, 2013",4:20 PM,61.1843686,-150.0261094,,66,Locomotion,Bear 15 06-30-13 1620,"Walking through forest, devils club/ferns, trail in sight"
25,471,Bear 15,"Sunday, June 30, 2013",6:00 PM,61.180529,-150.0241294,,66,Resting,,Resting in cottonwood tree
26,483,Bear 15,"Sunday, June 30, 2013",8:00 PM,61.1805488,-150.0241449,,66,Resting,Bear 15 06-30-13 2000,"High in tree, tongue stickin out andback paw in view. Some twitching, perhaps dreaming?"
27,507,Bear 15,"Monday, July 01, 2013",12:02 AM,61.1695965,-150.0542096,,64,Resting,,
28,543,Bear 15,"Monday, July 01, 2013",6:01 AM,61.1695389,-150.0547395,,63,Resting,,
29,577,Bear 15,"Monday, July 01, 2013",12:01 PM,61.1622266,-150.0537593,,61,Locomotion,,Climbing cottonwood tree
30,582,Bear 15,"Monday, July 01, 2013",12:51 PM,61.1542072,-150.0564689,,61,Anthropogenic,Bear 15 07-01-13 12:51,Investigates bear-resistant dumspter near Kincaid pavillion
31,595,Bear 15,"Monday, July 01, 2013",3:00 PM,61.1580082,-150.0663361,,64,Anthropogenic,Bear 15 07-01-13 1500,Sniffing ground and then lifts head to watch biker pass by
32,597,Bear 15,"Monday, July 01, 2013",3:20 PM,61.1629261,-150.0678618,,64,Natural Food,Bear 15 07-01-13 15:20,"Eating dandelions (Taraxacum officinale), lifts head to watch biker pass by"
33,611,Bear 15,"Monday, July 01, 2013",6:01 PM,61.1987738,-150.0200583,,63,Locomotion,,Walking down Coastal Trail
34,620,Bear 15,"Monday, July 01, 2013",7:30 PM,61.2035795,-150.0161007,,61,Locomotion,Bear 15 07-01-13 1930,Walking along coastal trail
35,647,Bear 15,"Tuesday, July 02, 2013",12:01 AM,61.1980771,-149.9583692,,66,Resting,,Resting in spruce tree
36,680,Bear 15,"Tuesday, July 02, 2013",6:00 AM,61.1979479,-149.9585571,,73,Resting,,Resting in spruce tree
37,686,Bear 15,"Tuesday, July 02, 2013",7:41 AM,61.1985766,-149.960329,,63,Anthropogenic,Bear 15 07-02-13 07:41,Dumping over trash can
38,697,Bear 15,"Tuesday, July 02, 2013",10:30 AM,61.2042653,-149.9305191,,61,Other,Bear 15 07-02-13 1030,"Grooming, licking paws"
39,706,Bear 15,"Tuesday, July 02, 2013",12:00 PM,61.2007908,-149.9299973,,64,Resting,,Resting in spruce tree
40,742,Bear 15,"Tuesday, July 02, 2013",6:00 PM,61.1924946,-149.9244586,,68,Locomotion,,Walking up to shed and yard
41,757,Bear 15,"Tuesday, July 02, 2013",8:30 PM,61.1938337,-149.9280021,,68,Locomotion,Bear 15 07-02-13 2030,Walking down railroad tracks
42,762,Bear 15,"Tuesday, July 02, 2013",9:20 PM,61.2002286,-149.9311402,,66,Anthropogenic,Bear 15 07-02-13 2120,Eating birdseed off porch and overturned birdfeeder
43,771,Bear 15,"Tuesday, July 02, 2013",11:00 PM,61.2015573,-149.932721,,63,Resting,Bear 15 07-02-13 2300,"Sleeping in hemlock tree, lifts head, yawning"
44,777,Bear 15,"Wednesday, July 03, 2013",12:01 AM,61.2016071,-149.9325973,,63,Locomotion,,Climbing down spruce tree
45,813,Bear 15,"Wednesday, July 03, 2013",6:01 AM,61.1998962,-149.9559894,,59,Locomotion,,Walking in front of closed garage doors
46,819,Bear 15,"Wednesday, July 03, 2013",7:01 AM,61.2102175,-149.9178449,,61,Anthropogenic,Bear 15 07-03-13 07:01,Walks up porch steps investigates bag of fertilizer
47,849,Bear 15,"Wednesday, July 03, 2013",12:01 PM,61.2086261,-149.9167931,,64,Resting,,Resting in spruce tree
48,865,Bear 15,"Wednesday, July 03, 2013",2:40 PM,61.209847,-149.9147198,,75,Anthropogenic,Bear 15 07-03-13 1440,"in yard, checking out sheep ornament"
49,884,Bear 15,"Wednesday, July 03, 2013",6:00 PM,61.2108435,-149.9201318,,68,Resting,,Resting in cottonwood tree
50,894,Bear 15,"Wednesday, July 03, 2013",7:40 PM,61.2108375,-149.9202615,,68,Locomotion,Bear 15 07-03-13 1940,Descending a tree
51,900,Bear 15,"Wednesday, July 03, 2013",8:40 PM,61.2087347,-149.9188573,,68,Anthropogenic,Bear 15 07-03-13 2040,Pulling apart suet feeder
52,918,Bear 15,"Thursday, July 04, 2013",12:02 AM,61.2189966,-149.9045753,,66,Resting,,Resting in cottonwood tree
53,947,Bear 15,"Thursday, July 04, 2013",6:02 AM,61.2178554,-149.9046653,,61,Locomotion,,Walking in alley
54,982,Bear 15,"Thursday, July 04, 2013",12:01 PM,61.2041038,-149.8887696,,61,Anthropogenic,Bear 15 07-04-13 1201,Looking in box at homeless camp
55,1015,Bear 15,"Thursday, July 04, 2013",6:00 PM,61.2024,-149.8908035,,63,Resting,,Resting in spruce tree
56,1050,Bear 15,"Friday, July 05, 2013",12:00 AM,61.2024491,-149.8907391,,68,Resting,,Resting in cottonwood tree
57,1086,Bear 15,"Friday, July 05, 2013",6:01 AM,61.2026632,-149.8914835,,61,Locomotion,,Climbs wooden fence in back yard
58,1121,Bear 15,"Friday, July 05, 2013",12:03 PM,61.2023448,-149.9096947,,66,Resting,,
59,1151,Bear 15,"Friday, July 05, 2013",6:00 PM,61.2032847,-149.9206801,,68,Anthropogenic,Bear 15 07-05-13 1800,Pulling trash from non bear-resistant trash can
60,1187,Bear 15,"Saturday, July 06, 2013",12:02 AM,61.2031681,-149.9189271,,61,Resting,,
61,1221,Bear 15,"Saturday, July 06, 2013",6:01 AM,61.2034961,-149.9231735,,59,Anthropogenic,,Pulls trash out of non-bear resistant trash can
62,1236,Bear 15,"Saturday, July 06, 2013",8:30 AM,61.2038342,-149.9128132,,59,Locomotion,Bear 15 07-06-13 0830,Bear walking alongside road
63,1269,Bear 15,"Saturday, July 06, 2013",4:31 PM,61.2043796,-149.8990964,,68,Anthropogenic,Bear 15 07-06-13 1631,Eating birdseed while people watch in background
64,1274,Bear 15,"Saturday, July 06, 2013",5:20 PM,61.2037473,-149.8857063,,66,Anthropogenic,Bear 15 07-06-13 1720,investigates bag of jerky left on trail in woods
65,1278,Bear 15,"Saturday, July 06, 2013",6:02 PM,61.1995124,-149.8666221,,68,Anthropogenic,,Eating trash drug into woods
66,1313,Bear 15,"Sunday, July 07, 2013",12:01 AM,61.199738,-149.8587338,,64,Resting,,Resting in spruce tree
67,1349,Bear 15,"Sunday, July 07, 2013",6:02 AM,61.2002134,-149.86042,,61,Resting,,Resting in spruce tree
68,1370,Bear 15,"Sunday, July 07, 2013",9:31 AM,61.2170985,-149.8265885,,63,Locomotion,Bear 15 07-07-13 09:31,Running across major highway intersection
69,1377,Bear 15,"Sunday, July 07, 2013",10:50 AM,61.2303308,-149.8120607,,66,Anthropogenic,Bear 15 07-07-13 10:50,In trash eating Kellogs corn pops cereal
70,1384,Bear 15,"Sunday, July 07, 2013",12:00 PM,61.2370381,-149.8070625,,68,Resting,,Resting in cottonwood tree
71,1420,Bear 15,"Sunday, July 07, 2013",6:00 PM,61.2369883,-149.8068519,,91,Locomotion,,Walking down driveway
72,1437,Bear 15,"Sunday, July 07, 2013",9:00 PM,61.2679322,-149.7608284,,68,Locomotion,Bear 15 07-07-13 2100,Walking while chewing on grass
73,1441,Bear 15,"Sunday, July 07, 2013",9:40 PM,61.2743507,-149.7788833,,61,Natural Food,Bear 15 07-07-13 2140,Eating grass
74,1455,Bear 15,"Monday, July 08, 2013",12:00 AM,61.2804919,-149.8244403,,59,Resting,,
75,1482,Bear 15,"Monday, July 08, 2013",4:40 AM,61.2775177,-149.8404613,,57,Natural Food,Bear 15 07-08-13 0440,Eating water dragon (Capa calluspulustres)
76,1490,Bear 15,"Monday, July 08, 2013",6:00 AM,61.2720133,-149.8461022,,57,Natural Food,,Feeding on crowberry berries (Empetrum nigrum)
77,1526,Bear 15,"Monday, July 08, 2013",12:01 PM,61.2588768,-149.829187,,63,Resting,,Resting in cottonwood tree
78,1557,Bear 15,"Monday, July 08, 2013",5:10 PM,61.2528107,-149.8521421,,79,Natural Food,Bear 15 07-08-13 1710,Eating dandelions (Taraxacum officinale)
79,1562,Bear 15,"Monday, July 08, 2013",6:00 PM,61.2513993,-149.8582294,,75,Natural Food,,Foraging on white clover (Trifolium repens)
80,1597,Bear 15,"Tuesday, July 09, 2013",12:01 AM,61.228297,-149.8454616,,63,Resting,,
81,1617,Bear 15,"Tuesday, July 09, 2013",12:00 PM,61.2236438,-149.8741866,,68,Resting,,
82,1652,Bear 15,"Tuesday, July 09, 2013",6:01 PM,61.2236093,-149.8742629,,81,Resting,,
83,1678,Bear 15,"Wednesday, July 10, 2013",12:00 AM,61.2083184,-149.9108871,,63,Locomotion,,Walking down street
84,1731,Bear 15,"Wednesday, July 10, 2013",12:00 PM,61.2039024,-149.9239834,,72,Anthropogenic,Bear 15 07-10-13 1200,Eating bird seed from suet feeder
85,1766,Bear 15,"Wednesday, July 10, 2013",6:01 PM,61.1948005,-149.926524,,79,Anthropogenic,,Raiding squirrel midden in spruce tree
86,1785,Bear 15,"Wednesday, July 10, 2013",10:10 PM,61.1949096,-149.9261056,,70,Anthropogenic,Bear 15 07-10-13 2210,Eating peanuts on ground fallen from squirrel midden
87,1796,Bear 15,"Thursday, July 11, 2013",12:00 AM,61.1945944,-149.9256347,,66,Locomotion,,Stand and look
88,1825,Bear 15,"Thursday, July 11, 2013",4:50 AM,61.194962,-149.9261657,,64,Resting,Bear 15 07-11-13 0450,"in tree, looking out and yawning (tonque out)"
89,1832,Bear 15,"Thursday, July 11, 2013",6:01 AM,61.1949787,-149.9261708,,66,Anthropogenic,Bear 15 07-11-13 0601,Raiding squirrel midden in spruce tree
90,1845,Bear 15,"Thursday, July 11, 2013",8:10 AM,61.193687,-149.9250276,,66,Natural Food,Bear 15 07-11-13 0810,drinking water from stream
91,1868,Bear 15,"Thursday, July 11, 2013",12:00 PM,61.1950097,-149.9264952,,73,Resting,,Resting in spruce tree
